Title,Price,Miles,Date Posted,Location,Link
2002 Porsche Boxster,"$14,371","59,910 mi.",6 days ago,(286 mi. from 63038),https://www.cars.com/vehicledetail/829606ab-20f5-4ebf-b09e-74bfdaac46de/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE
1998 Porsche Boxster,"$13,196","49,383 mi.",8 days ago,(255 mi. from 63038),https://www.cars.com/vehicledetail/2ff0fb8c-ccc6-4ec5-a3d2-c02def3eb595/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE
2006 Porsche Boxster,"$21,495","43,778 mi.",9 days ago,(280 mi. from 63038),https://www.cars.com/vehicledetail/d7e213fc-b8bc-457b-9a0f-e493fd1586f1/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE
2009 Porsche Boxster,"$24,984","49,213 mi.",12 days ago,(262 mi. from 63038),https://www.cars.com/vehicledetail/6e8c0f2b-e801-48df-b93b-6bdb465f5986/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE
2003 Porsche Boxster,"$15,999","54,926 mi.",Jun 13th,(264 mi. from 63038),https://www.cars.com/vehicledetail/df20146d-140d-43f5-9559-7216262c6e5a/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE
1997 Porsche Boxster,"$15,800","52,779 mi.",Jun 13th,(260 mi. from 63038),https://www.cars.com/vehicledetail/b6485d43-7c9f-4580-834a-d8b4537add39/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE
2002 Porsche Boxster,"$22,000","39,281 mi.",3 days ago,(250 mi. from 63038),https://www.ebay.com/itm/166880694311?hash=item26dadd5027%3Ag%3AMtMAAOSw80VlXJQW&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049
1999 Porsche Boxster Convertible,"$16,000","47,736 mi.",22 days ago,(250 mi. from 63038),https://www.ebay.com/itm/166851969338?hash=item26d927013a%3Ag%3ACtcAAOSwIF9lZk1N&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049
1997 Porsche Boxster,"$14,864","57,109 mi.",25 days ago,(276 mi. from 63038),https://www.ebay.com/itm/375512698133?hash=item576e4d0d15%3Ag%3AP6EAAOSwfE9mTAbM&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049
1997 Porsche Boxster,"$14,864","34,156 mi.",25 days ago,(276 mi. from 63038),https://www.ebay.com/itm/375512698129?hash=item576e4d0d11%3Ag%3AAcEAAOSwf0NmTAaL&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049
2000 Porsche Boxster Standard,"$21,975","28,805 mi.",10 days ago,(259 mi. from 63038),https://www.truecar.com/used-cars-for-sale/listing/WP0CA2984YU624368/?referrer_id=autotempest
1998 Porsche Boxster Standard,"$15,900","46,308 mi.",Jun 21st,(269 mi. from 63038),https://www.truecar.com/used-cars-for-sale/listing/WP0CA2989WU624590/?referrer_id=autotempest
